댓글 작성자,영상 시간,댓글 내용
Lee,01:04:24,TEST
Debbie Green,-4:25,Hi
Marisa Lee,-4:08,Good morning Jen!! Hope you and your family are doing well. Sending love to everyone right now amidst the chaos.
Rosanne McGuire,-4:05,Good morning from CA
LaCondesaLatina,-4:03,"So, so, so glad to see you all here. Blessings, from Florida, Latina and JULIO down by the school yard. 💜💜💜💜💜💜"
Monika luvs beauty420,-4:03,morning!!
Teresa Niswander,-3:59,Good day everyone.
Ann Linton,-3:53,Good morning
manderjack,-3:53,good morning & congrats on the new title pack!
Christine Livathinos,-3:39,Good morning
Chatty Nani,-3:34,Hello
saucerjess,-3:29,good morning y'all! sending lots of love from Texas 💚
Shirley,-3:27,Good Morning ☀️😃🌞
Jackie C,-3:13,"Good morning, beauties 🙂 ❤"
Girlykins,-3:07,Hi! 😊 good morning!
Banshee Muse,-2:56,Morning
saucerjess,-2:53,don't forget to like this video pretty please
Jessica Seyfried,-2:34,Good Morning all!
Teresa Niswander,-1:46,My fur baby Sparrow is snuggling and waiting for chat.
Shirley,-1:46,No place I’d rather be 💗🤗💗
Vickie D,-1:42,good morning everyone
Gen Giovannone,-1:42,good morning collective brain
Jackie Angel,-1:39,Good morning everyone
Luanne Santos,-1:31,Good morning everyone
Melody Pautzke,-1:27,Good morning!
Laura Mac,-1:24,Hey Jen From Ontario Canada ✌
anulydal,-1:24,Good morning from Maine!
Yimar Uzcategui,-1:23,Good Morning 😊
Mel,-1:20,Good morning! Was just watching what’s up in makeup...
Iamanime 3117,-1:10,First time here not on the replay!! Good morning!
Deanna Lynn Cooney,-1:02,Good morning everybody! Hello Jen!
Jessica Ersin,-1:01,good morning Jen! wish I could stay for the chat but it's so nice out in michigan we're taking our dogs for a walk.
nodhill,-0:58,Good mornin'
GingerJeanie,-0:48,"Good morning from Florida, y’all!"
Isabel,-0:44,Good morning.
Teresa Maldonado,-0:38,Gooooood morning y’all
Lisa Marie,-0:30,Good morning
Tara Breeden,-0:26,oh yay I made it. Hi Jen! 🥰
Pamela B99,-0:24,Hello good morning
Sarah Reber,-0:18,good morning! ☀️
freyja Coulter,-0:14,Morning 🙂
Debbie Shuta,-0:12,Morning
Dannielle Obenchain,-0:09,Good morning from El Paso
Cosmic Slice,-0:02,Morning all. Salutations from Canada. :)
Miranda Stephens,0:03,Wow i finally made it to a live!! I have been subscribed to you for months but could never make it to a live! I love you Jen! You're my favorite youtuber!
Noa Shaindlinger,0:16,Good morning Jen
Donna QC,0:17,Hi Jen!!!
Debbie Shuta,0:19,From Las Vegas here. Love jens weekly chat...
Adrian,0:21,good morning everyone!
Teresa Maldonado,0:22,Sad week
Glo's Be Pretty,0:25,Good morning Jen. I was just watching your makeup in review video
Renee Bruch,0:28,made it in time for once! morning collective brain!
Leah Liddell,0:29,Good morning! First time making a live in a while!
Not 20,0:29,Good morning everyone
Katie Burns,0:35,Hi!
Daniela Lutea,0:37,hia! 🤗😘😍
Isabel,0:38,How are you Jen?
makeupmomma 911,0:40,good morning Jen
Robyn,0:41,Good morning! No night shift last night so I get to see you live!
Angela Curry,0:43,"Morning, its been a sad week"
erica mathew,0:43,goodmorning!!!!!!!
Jennifer Longbrake,0:45,Good morning Jen from another Jenn in Maine
Ezgi A,0:47,Hiii! ❤
JennEwithNoY,0:47,Hiiiiiii Jennnnnnn💕
Phyrra Nyx,0:51,Hi Jen
Leslie Ann,0:52,Good Morning Everyone
Julie Lute,0:54,hi Jen
Nicole Banker,0:54,good morning jen!
Machteld Sofia,0:54,hello Jen. 💙
DazedAnd Confuzed,0:55,good morning 🙏
Sara Keetch,0:57,Hi
Miss BeDu,0:57,My first live!!!hi Jen from OHIO!!
Crystal Santana,0:58,Good morning everyone. I hope everyone is safe this morning.
Anna Banana,1:00,Good morning!
xCaykex,1:01,it's been a rough weekend. my head and heart are heavy.
Kristina G,1:01,🥰
JuliaGoes,1:02,Good morning
Tara Lyons,1:07,hi Jen
Melissa Fallenstein,1:09,GM from Minnesota
Tiffany PK,1:09,Good morning everyone.
Jennifer Gould,1:10,hi Jen
makeupmomma 911,1:10,it will be okay
JenUnboxed,1:11,"How do you balance ""norm"" with all the things going on?"
Jillie's Nails,1:11,Good morning!
Sandra Talksabout,1:11,Good morning everyone
Marti Hurford,1:12,Morning All ♥️
Paula Blue,1:14,hello!!
Lisa Aburumman,1:14,Good morning!!!
Unapologetically Mocha,1:15,Morning.
Anna Granger,1:16,Hi Jen!!!!!!
butterfly dream,1:17,hi Jen!
Shelbylee,1:17,Morning :)
Miranda Stephens,1:19,yes it has been a crazy week. my heart is broken. im not black or poc but i still feel so much for them all.
Miss Ellie,1:19,talk about our reality and the world right now
Leeshy,1:20,"Good morning, love!"
Marlene,1:21,you are amazing.
Leah Liddell,1:23,❤️
COLLEEN KESSLER RN,1:23,Love you
Stephanie Robinson,1:23,Good morning from MN!
