댓글 작성자,영상 시간,댓글 내용
Lee,00:04:31,TEST
월평,-18:46,후욱후욱
월평,-18:44,빨리보고싶어..
이옌,-18:44,안녕하세요❤
스마일군,-18:30,와
이옌,-18:16,언능 보고싶닫ㆍ
wisdomly,-18:16,으으응으ㅡ르으ㅡ으현기증나여
김미현,-14:47,🙊
Genie Kim,-12:19,오
권혁중,-9:02,빨리보고싶다 ㅜㅜ
진영주,-9:02,벌써와있넵
구리는Cu,-8:05,오오옹
노래똣,-7:35,오오
Mind R,-6:37,곧시작이다
Mind R,-6:33,후하후하
노민영,-6:01,애기 뽀로로 틀어주고 저는 대기탑니다!!
바이오의약과-1112-용권중,-4:32,정상근 목소리듣고싶당
노민영,-4:28,라온님♡♡♡♡♡
Mind R,-4:06,이건 역대급이야
꼴뚞,-2:46,2분 미쳤다
Real1oveU,-2:38,이거자
피자마루피클도둑,-2:37,절 대 시 청 해
이혜림,-2:31,2분 남았는데 왜이리 길까 ㅜㅜ
노민영,-2:02,1분이 일년같네요ㅠㅠ심장 두근두근..
김성태,-1:31,두근두근
피자마루피클도둑,-1:21,온다온다..!!!!
시라노,-1:13,아름답게 널 감상 할 수 있게~
구리는Cu,-1:10,오오오
Mind R,-0:59,드디어
구리는Cu,-0:54,드디어!
Mind R,-0:51,때가왔다
구리는Cu,-0:40,우와아아
이혜림,-0:32,후아후아
잠만보,-0:28,😍
이상목,-0:24,노래 너무 좋아요 ㅠㅠ
라오랑 동혁,-0:19,ㄲ
은승연,-0:18,🤭♥️
라오랑 동혁,-0:17,ㄱㄱ
Mind R,-0:15,빨리 제발
이재호,-0:15,대기
이상목,-0:14,멜론으로 한 400번은 들은듯
윤종욱,-0:13,빨랑!
reebo Ha,-0:13,떨린디
잠만보,-0:12,1분!!
김태양,-0:10,후하
이건후,-0:09,ㄱㄱ
young,-0:08,ㅠㅜㅠㅜㅠㅜㅠ
은승연,-0:05,꺄아아
sparta kooks,-0:04,ㄱㄱ
김태양,-0:02,ㄱㄱ
최재호,-0:00,ㅎㅇ
김미현,0:00,👏👏👏👏👏👏👏
SUPPORT,0:00,10
geumjayoung zi,0:00,5초!!
김덕호,0:00,카운트 다운
이승호,0:00,9
JIUN지언,0:01,ㅋ ㅋ ㅋ ㅋ ㅋ
알수없음,0:01,321
reebo Ha,0:01,10
이건후,0:01,10
방망암,0:01,4
wisdomly,0:02,ㅠㅠㅠㅠㅠㅠㅠ악
밤양갱,0:02,갸아아아앙
스마일군,0:02,7
잠만보,0:03,10
JO SangWoo,0:03,5
Jiny Y,0:03,5
김영찬,0:04,ㄱㄱㄱㄱㄱ
young,0:04,꺄아아아ㅏㅇ앙아악
라오랑 동혁,0:04,네넵 ㄹㅎㅎ
한군,0:04,옷
잠만보,0:05,9
최성욱,0:05,스
땅민,0:05,5
