댓글 작성자,영상 시간,댓글 내용
Lee,01:25:00,TEST
69K Subscribers Without Any Videos Challenge,0:12,hi
20kCones,0:12,Yo
Logan Powell,0:13,hi
Almezen Al-Marri,0:13,Hi
am cool,0:14,Hi
k w,0:15,Hi
kuku and kay vlogs,0:16,Hi
Kelly Morris,0:16,HEYYY
GoOSePlayz,0:16,Hi
Ally Oglesby,0:16,Hi
midnight's_lyricsシ,0:17,hi
Molly Jones,0:17,Hi
Almezen Al-Marri,0:18,Omg I am a big fan
Jay Beharry,0:18,YOOO
Kit Kyat,0:18,hi
Sarah Molly,0:19,HIIIIII
Guccigang,0:19,Omg hi
Karen Faith Lie,0:19,Hi
Zack Diamond,0:19,hello
CallMeArvs,0:20,Hi
DailyDoseOf Dumb,0:20,ELLO
kuku and kay vlogs,0:20,Say hi
GoOSePlayz,0:20,One of the first yay
am cool,0:20,Halo
Strawberry Boba,0:20,wow
10k subscribers without no videos,0:20,"Lia:You're amazing stay blessed,stay safe and have an amazing rest of your day!!..."
「DianaVxbes」,0:21,Hii
Jonathan Garcia,0:22,Hi
Sunrise sonic sans,0:22,What up
ilham fayaz,0:22,YOO COOL
Zamana Jahani,0:23,Heyyyy
Cookie_lover_,0:23,Hi
J U P I T E R シ,0:23,HELLLO
Emyplayer Ashouri,0:23,Hello
Melob,0:24,I farted
Gacha Isabella Fnaflover,0:24,Hi
MS EmilFirePump,0:24,hi
Ohoud RAJEH ALSAADI,0:24,Hi
Fadeke Ajamu,0:24,Hi
Kelly K.,0:24,Hi
Kuin,0:24,O:
Sweet Pineapple,0:24,Hii
Lillie Cave,0:24,love u so much
CallMeArvs,0:24,ILY LIA
Malak Asad,0:24,Hi
It’s Pinapple,0:24,Hi
Aryan Gill,0:24,hiii
HyperZ,0:25,Hi
Airiana Luna,0:25,Hi
Kerissa Tommy,0:25,hi
Josue Lupezz,0:25,hi
Brock Thomas Jr.,0:25,Hiiiiiiii
Angelina Chen,0:25,Haii
Ocean wolf !,0:25,HIIII
pazia23,0:25,hi
Dono_ Nugget,0:25,oi
iihoneyxluvii,0:25,HIIII
Talent in you,0:25,hi
Liz Mejia,0:25,Hiii
Sheila Anani-Bossman,0:25,hiiiii
Molly & Harry mccrory,0:25,HI
Gaming with Tasty,0:26,hiiiì
starlight Kitty,0:26,HIYA KIDS
Des Lovato,0:26,hi
SweatyFishy,0:26,U PLAY FORTNITE
Lizbeth Uday Sinchi,0:26,Yay
Coldcrv,0:26,hello
Quinta Jackson,0:26,Hello
Kaykay_kittygamer Nub,0:26,Oop
Exotic Scurge,0:27,LIA
10k subscribers without no videos,0:27,"Lia:You're amazing stay blessed,stay safe and have an amazing rest of your day!!..."
Slowed Audios,0:27,HII
Rendani mudau,0:27,hi
Fluid Jayy,0:27,hi
The BLUE BLUR,0:27,Hi
DannyPlays RBLX,0:27,FINALLY
akumu and Akuma,0:27,heii
Amanda Garcia,0:27,Hii
Roslyn Parris,0:28,HELLO
Kevin Patlan,0:28,Hi
Elise Thompson,0:28,HIIi
Use code litty Gonzalez,0:28,Omg hi
Olga Viloria,0:28,hi
Jefferson Morales,0:28,hello
What’s my Name?,0:28,Heyy
Pink Out,0:28,Heyyyy
Sunset Clarie,0:29,Hiiii
Sandra Lopez,0:29,Sup
Katy Dunning,0:29,Hiii
Melanie’s Pacify,0:29,hiiii
Shalysse Moore,0:29,Hi
Laylay Adkins,0:30,ello
Hallie Thompson,0:30,Hiiiiiiiiii
Abie Alfaro,0:30,Hi
Ƒorever Sτudios,0:30,HIII
Captain Shadow bonnie,0:30,Lol
Jorge Orozco,0:30,Hi
BlackoutPlayz,0:30,Lol hello pls say hello back
Outcast Slopps,0:30,Hey
fluffyWeebu,0:31,:virtualhug:
Supreme Jayden,0:31,You still play fort
Thekiddraya Yt,0:31,Omg
Juli Chicken Doodle,0:31,Heyyy
Gacha_Wolf STUDIOS,0:31,Hello
thedragon whisperer,0:31,hi
