댓글 작성자,영상 시간,댓글 내용
Lee,00:59:25,TEST
Seema Agarwal,-0:10,lAte
Mounish Parimi,-0:09,late
BHAVESH ADWANI,-0:09,jadoo bhai late
Venom,-0:09,:goodvibes:
Yuvika Harisinghani,-0:08,late
ADITYA RANJAN,-0:08,late
Rishi Singh Vines,-0:08,late
jheel gautam,-0:08,late jadoo bhai
boss gaming,-0:07,late
Rishabh Vashishtha,-0:07,Boom
Assaulter Gaming,-0:07,late op
Aayush Parekh,-0:06,late
chaitali magdum,-0:06,late op
Anmol Shrestha,-0:06,late op
Patanjali Rao,-0:06,late
Amfatsmart gamerz,-0:06,late
anita bajpai,-0:05,fir se late ho gyu
Abhav Gautam,-0:04,late jadoo
Atulya Tripathy,-0:04,late
Rekha Prajapati,-0:04,1 minute late:buffering::buffering::buffering:
Madhuparna Maity,-0:03,waiting:goodvibes::goodvibes:
ramhet Choure,-0:02,late
Rajvardhan Chachad,-0:02,late
Sahil Mirchandani,-0:01,Jadoo Noob Late
Prandhan Kalita,-0:01,late
SANJAY sadwana,-0:01,late op
Darshan Hotchandani,-0:01,PLS START
Pubg Ke Divane,-0:01,let
Qipex leo World,-0:00,late
SANJAY sadwana,0:01,:goodvibes::goodvibes::goodvibes:
Yuvika Harisinghani,0:01,late
Kushal Dey,0:01,jaldi aao
Fashion Girls,0:01,start now plz we are waiting
Ifthequarali Mubashir,0:02,late
Mounish Parimi,0:02,late
KANISKAJIT BASUMATARY,0:02,late op
KESHAB KAUSHAL,0:03,late
Jai Bhanot,0:03,:buffering:
shlok gupta,0:03,cant wait come fast
Aayush Parekh,0:04,late
hanisha mansukhani,0:04,late
KANISKAJIT BASUMATARY,0:05,late op
Nilesh KOTWAL,0:06,late
Maxpain Gaming,0:06,late
Aayush Parekh,0:07,late
Mann Mann,0:07,late
boss gaming,0:08,late
Maxpain Gaming,0:08,late
Sourin Ghanty,0:09,late jadoo late
Gamervishu Bansal,0:09,:washhands::washhands::washhands:
special ops gamer,0:10,😡come fast
Maxpain Gaming,0:10,late
Sandip Paul,0:11,calu karo
R.T Work Out,0:12,:yt::yt::yt:
Prandhan Kalita,0:12,late late
Aayush Parekh,0:12,late
Vaishali MAHAJAN,0:12,late
Chetna Kharbanda,0:13,late
yatharth soni,0:13,late OP
Abhav Gautam,0:13,late
BZI Ishan,0:13,late
Lakshit Jain,0:13,late
Jai Bhanot,0:14,:buffering:
INTENTIVE TEACHER,0:14,hiii
KINJAL MAJUMDAR,0:14,late
rohan pro,0:15,hellooooooo sirr
Aayush Parekh,0:15,late
SUDHANSHU MEHTA KI VINES,0:15,jadoo
Infotainments with Ayan,0:16,late
Daksh Kishore,0:16,hi
Tania Mukherjee,0:16,hello
Qipex leo World,0:16,shuru kare
Seema Agarwal,0:16,late
Darshan Hotchandani,0:17,LATE JADOOO
Siddhartha Poudel,0:17,late
Jai Bhanot,0:18,:buffering:
Reverse Clock Gaming,0:18,late
jayesh agrawal,0:18,hello
Mounish Parimi,0:19,late
Ashutosh Ojha,0:19,aa gaya live
Ansh gaming,0:20,ON TIME
Prandhan Kalita,0:20,late
Dhruvi Patel Dhruvi,0:20,Aalas
Siddhartha Poudel,0:20,late
Aayush Parekh,0:21,late
Alaqmar Randhikpoorwala,0:21,late op
atul passi,0:21,Hi brozzz
Suyash Gaming 004,0:21,yoo
Souvik Chatterjee,0:21,live
Rock Star,0:22,hi
freak show,0:22,lat
Abhav Gautam,0:22,late
Game Burn official,0:22,late
Sagar Newar,0:22,its loading
Ifthequarali Mubashir,0:22,late
Reverse Clock Gaming,0:23,late
Satyam Jha,0:23,:buffering:
papia goswami,0:23,hi
Farhin Quadri,0:23,hi
The beast guy Sl,0:23,late
Manjeet Chourasia,0:24,hello
Amit Bhaumik,0:24,late
Game Burn official,0:24,late
Prathamesh king,0:25,hi
TUSHAR KHURANA,0:25,Live
BRUTAL SQUARD GAMING,0:25,hi big fan
Krishna Chandel,0:25,yes
Ansh gaming,0:25,NO LATE
Koli Dey,0:25,hiii
ZallaD GaminG,0:25,jadoo jitega
Ronak Bhardwaj,0:26,:yougotthis:
Tintin A.K.A. SOHAN,0:27,Hello
MEMON BOYS,0:27,love from Pakistan
Alaqmar Randhikpoorwala,0:27,late op
AEA Gaming,0:27,carry
Aayush Parekh,0:27,late
Hybridgamer 410,0:27,aalaaa
freak show,0:28,late
PRIYA DHAR,0:28,yes
Soham Relekar,0:28,late
Liju Skariah,0:28,late
AEA Gaming,0:28,carry
Amit Bhaumik,0:29,late
Vaishali MAHAJAN,0:29,late
Geeta Himthani,0:29,late
spandan Bhattarai,0:30,late
Aayush Parekh,0:30,late
Anurag Sharma,0:30,late
Manav Bhuta,0:30,kya late hai
Lakshit Jain,0:30,late
freak show,0:30,late
HARD GAMING YT,0:30,late
Aayush Yadav,0:31,late
Soham Relekar,0:31,late
BAD VENOM gaming,0:31,shoutout dedo
Raghav Rander,0:31,latr
Sandip Paul,0:32,itna let
Aayush Parekh,0:32,late
Anil Sanjel,0:32,hello
surinder chadha,0:32,hii
MARVEL GAMING pubg moblie,0:32,Hi jadoo sir
Heer Sampat,0:33,Hiiiiiii
Jayshree Dahibhate,0:33,hiiiii
Prashant Shinde,0:33,hii
REBEL,0:33,LAAAAAATTEEEE:socialdist:
ANSH Raj,0:33,finally
Abhishek Singh,0:34,oo
Soham Relekar,0:34,late
R.T Work Out,0:34,late bohot late
Ansh gaming,0:34,ON TIME
Malhar Patil,0:34,late
Sakina Shakir,0:34,late
AARAV SINGH,0:34,hii
Srinjoy Ghatak,0:34,late op
Rushil Varade,0:34,Hello
Siddhartha Poudel,0:35,hello bhai
Moatemjen Pongen,0:35,late
StaR Dust,0:36,latex100
INDRA BHATT,0:36,Take my name
Yazishni Gandhi,0:36,hi
INDIAN MEMESWAALA,0:37,LATE
VIJAY SINGH,0:37,:buffering:
Pranay Mewara,0:38,hello
Geeta Himthani,0:38,late
sparsha Shrestha,0:38,hello
AEA Gaming,0:38,carry
Koustubh Khare,0:38,hy
Aan Gupta,0:38,heelllo
Abhijit Das,0:39,hi chotu
FIRE MASTER,0:39,hi
AEA Gaming,0:39,carry
UnStopable Gamer,0:39,hiiii
Nikita Gaikwad,0:40,hii
Prakash Sharma,0:40,hi Ashish bahaiya
AEA Gaming,0:40,carry
Shuriken Gamers,0:40,yo
Harshil Rajput,0:40,hiii
Technical Uttrakhandi,0:41,late
Anil Sanjel,0:42,hi
Sonu Monu,0:42,bahut dare ho gaye
Swatilekha Mondal,0:42,hiii guys iam biggest fan of you guys
Ashish Acharjee,0:43,Hi
Sakina Shakir,0:43,late
Shuriken Gamers,0:43,yo
spandan Bhattarai,0:43,late
Harshil Rajput,0:43,hii
Technical Tips ASHISH,0:43,hi ASHISH SIR BIGEST FAN
Gajendar Sharma,0:44,late
PRIYAM Kalita,0:45,hi
Aditya Kumar Jha,0:45,hi
Himarsh Deewan,0:45,hello
Kalpita Samal,0:45,hi ashish video kab aayega
jainam shah,0:45,hi jadoo simran ashu jashu
Raghav Rander,0:46,late
Malhar Patil,0:46,late
Kushum Sengar,0:47,chalo
Kartik Kanbarkar,0:48,late op
CHIRAYU MORE TRACKERS,0:48,hi jadoo and ashish sir
Rakhi Soni,0:48,helloooooooooooooooooooii
Gamer at work,0:49,mythpat
Amitesh kushwaha,0:49,hii
Sandeep Pandey,0:50,hello
Dipanwita Roy,0:51,Late
Aayush Parekh,0:51,late
Sa Nafiz,0:52,lol
Shridhar Sawant,0:52,late
ZallaD GaminG,0:52,Jason gitega
sangwan rajni,0:53,hii
Mayur Durgude,0:53,hi
DEBPRATIM MANDAL,0:53,hi everyone
Sohali Hai,0:54,late
Goura Krushna Sahoo,0:54,simran loves aakash
Abhigyan Chawla,0:54,I'm biggest fan
Snehal Patil,0:54,Hi ashish sir!!
Sanjeev Verma,0:57,late
Rajesh Sinha,0:57,hi
Dakshdeep Singh,0:58,hi
muhammod jubayed,0:58,late
Mamta Singh,0:58,ashish shoutout for Satvik Singh
Manoj dey hai,0:59,hello
Ashish Kumar,0:59,hi chotulal
ADITYA INDORE PATIL,0:59,late
Maxpain Gaming,1:00,late
PRIYAM Kalita,1:00,late
Pankaj Nagvadiya,1:00,hiii
manjulaeswar Manju,1:01,jashu shaved
Md.Shoaib khan,1:02,Hi
Walk World,1:02,hi
atul passi,1:02,Hi Simran ❤️❤️❤️
AEA Gaming,1:03,vcarry
Arshia Saha,1:03,hlo
dilip kumar,1:03,SUPERLATE
Jenisha basnet,1:03,:goodvibes::goodvibes::goodvibes:
PRIYA DHAR,1:03,Akash n Ashish looking so cute n Ashish dadhi Mubarak ho
Ankit Soni,1:03,ashish bhai sai shoutout dila dai
Cerpa Pasang,1:04,Hiiiii
ADY,1:04,:buffering:
Amit khedkar,1:04,:yt:
JITHESH #14,1:05,Ashish ek baar bella bolo na
Rajlakhsmi Chakraborty,1:05,hi
Rajat Baliyan,1:06,plzzzzz sabse shout out kar vao
Shridhar Sawant,1:06,late
KaRaN GaMiNg,1:06,ji
Shilpa Sanganeria,1:06,late
Akash Jagtap,1:06,LATE
Aseem Desai,1:06,late
Arya Gurjar,1:07,late
Geeta Fulora,1:07,late
Darshan Hotchandani,1:07,JAI JHULELAL TO ALL OF YOU
Aanchal sharma,1:07,late
Ashish Chanchalani,1:07,late
Akash Harnet,1:08,jashuuu
Ankit Soni,1:08,ashish bhai sai shoutout dila dai
Lakshman Tirakala,1:08,hiiiiiiii8
Mr. Techno S,1:08,late
arnav khan,1:09,carry
Harsh Pathak,1:09,jasu op
Àţmáñ Ťřípâţhî,1:09,late
Yash Vidhwani,1:09,hii
Yash Anand,1:09,Late
Akash Jagtap,1:10,LATE
Savage Teen,1:10,hello
Harsh Singh,1:10,hii
AEA Gaming,1:10,carry
alluring hues,1:11,hiiiii
JITHESH #14,1:11,Ashish ek baar bella bolo na
Alka Thakur,1:11,Hii
Manish Thakur,1:11,late
Chetna Kharbanda,1:11,late
Amit Bhaumik,1:11,late
Akanksha Gaikwad,1:12,hiii guys......
Mamta Singh,1:12,ashish chanchlani shoutout for Satvik Singh has
Adarsh Mishra,1:12,shoutout
M EXOTIC,1:13,late OP 🤣🤣🤣
Darshan Hotchandani,1:13,JAI JHULELAL TO ALL OF YOU
Sunny kumar,1:13,
Amit Kumar Sahoo,1:13,Ashish bro. what happened with you????
arnav khan,1:13,carry
JITHESH #14,1:13,Ashish ek baar bella bolo na
Kushal Dey,1:13,late
Praveen Kumar,1:13,late
Harsh Pathak,1:14,jasu op
Àţmáñ Ťřípâţhî,1:14,late
R.T Work Out,1:14,late
amita trivedi,1:14,I love yoy
Cod Dhanu,1:14,Ashish growed beard 🤣
BLAZE,1:14,late
shripachaavtar Agri tech shelke,1:15,hi
Zain Haziq,1:15,late
REBEL,1:16,LAAAAAAATTTTTTEEEE
Neil Sarmalkar,1:16,bahut jaldi aye
Akash Jagtap,1:18,LATE
Sandip Paul,1:18,🤣🤣🤣🤣
Dipesh Morandani,1:18,jashuuu pehchana?
Lucky Raj,1:18,hi ashish
Arjun sharma,1:18,late
Raksha Soni,1:20,😊
AEA Gaming,1:20,carry
Titan Gaming Boy,1:20,hlo everyone what's up
Darshan Hotchandani,1:21,JAI JHULELAL TO ALL OF YOU
Om Ochani,1:22,Late
BLAZE,1:23,late op
danesh meena,1:24,Hiiii
Prayant Mohanty,1:24,"Ashish sir, I am your fan."
Kartikeya The Best,1:24,hi
HINDU MYTHOLOGY,1:24,hello ashish uncle
arnav khan,1:25,carru
Arshia Saha,1:25,hey ASHISH sir
Puran Rathore,1:25,low sound
Chiranjib Baruah,1:25,hiiiiiiii Asish
sindhi gamer,1:25,late
The ACVian,1:25,ashish bijlee ka bill bhara
Amimul Imdad,1:25,hi
HEMANT KHETAN,1:25,nice 😘😘😘😁😍❤️💛💚💙
Tanmay Tiwari,1:25,late op late op late op
Arjun sharma,1:26,late
global overseas lucky bathla,1:26,noobie
Dakshdeep Singh,1:26,hi
Parth Aher,1:26,CONGRATS 🎉🎉🎉. DADHI AA GAYI
Rick Mondal,1:26,#Asish
kajal krish,1:26,hi
AEA Gaming,1:27,carrycarry
Akash Jagtap,1:27,LATE
Aryan Krish,1:29,bahi mai biggest fan hu pls reply
