댓글 작성자,영상 시간,댓글 내용
Lee,00:59:25,TEST
CHIRAYU MORE TRACKERS,1:33,jadoo sir win
Tania Mukherjee,2:32,ASHIS WILL WIN
Srinivas Kini,2:36,Ashu will win
Ram Gianani,2:37,simran will win the game
Jasoda elli,2:57,Ashish will be the winner
Tania Mukherjee,2:59,ASU WILL WIN
Ankit Biswal,3:14,Ashish will win
Tania Mukherjee,3:35,ASU WILL WIN
Tania Mukherjee,3:42,ASU WILL WIN
Anjali Vasnani,3:43,ashish will win this time
Tania Mukherjee,4:05,ASU WILL WIN
Utsav Jha, 4:08,ashish will win
Tania Mukherjee,5:47,ASU WILL WIN
15. Jeet Trivedi,5:48,Ashish will win
Tania Mukherjee,6:22,ASU WILL WIN LUDO KING
Tania Mukherjee,6:33,ASU WILL WIN LUDO KING
Tania Mukherjee,6:48,ASU WILL WIN LUDO KING
15. Jeet Trivedi,6:52,Ashish will only win no one else can win
Gopal Jii,9:40,Ashish will win
mr. indian gamer pj,11:48,ashish will win
Shubham Mishra,15:01,simmi is gonna winnn
Adarsh Mishra,15:21,if ashish will win I will give 100rs superchat
mithilesh Raghav,15:45,hi ashish will win
manisha pawar,16:12,I don't think that anyone would win
Rahul Dutta,16:35,red win
Rahul Dutta,16:42,red win
Rahul Dutta,16:49,red win
Crazy Mashups,17:07,jadoo will win
Rahul Dutta,17:14,bule win
Rahul Dutta,17:20,blue win
Tania Mukherjee,17:59,ASHIS WILL WIN
Vraj Shah,19:25,ashish bro will win
R.T Work Out,19:46,dont take tension ashish sir you will be only the winner
Karan Chowri,20:08,Ashish will win
R.D.J Dhara,21:43,SIMRAN WILL WIN 1ST POSTION
Japanese technology lover,22:10,jadu win
Dhruv Jain,22:46,Ashish is following lockdown...😜😜
samir Saha,22:50,Ashish sir don't lose in heart at last you will see that you will must win. all of your subcribers wish you to win
Manju hotwani,23:15,who will win
Mahesh Loya,24:01,simran willl winnnn
SHRUTI GHOSH,24:34,who will win🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔
distortion edits,24:46,Ashish for the win
Nityanand Powar,25:09,ashu u can win
Manjit Dhillon,25:34,ashish bhai kya krr rhe ho u have to win
Manjit Dhillon,25:54,ashish u have to win
sai gosukonda,25:59,ashish win ashish
Nitin Sawant,26:06,simran will win
Manjit Dhillon,26:38,Ashish bro win win
SHRUTI GHOSH,26:51,ASHISH WILL WIN
Rajesh verma,27:02,yellow win
Rajesh verma,27:19,yellow is win
Manojeet Biswas,27:37,Ashish will win the game
Rajesh verma,27:40,yellow is win
Rajesh verma,27:44,yellow is win
Rajesh verma,27:51,yellow is win
Rajesh verma,27:56,yellow is win
Rajesh verma,28:00,yellow is win
Rajesh verma,28:07,yellow is win
Rajesh verma,28:13,yellow is win
Rajesh verma,28:18,yellow is win
Rajesh verma,28:27,yellow is win
Rajesh verma,28:33,yellow is win
Suish Regmi,28:37,asish is following lockdown
Rajesh verma,28:39,yellow is win
Suish Regmi,28:41,asish is following lockdownasish is following lockdown
Suish Regmi,28:43,asish is following lockdown
Suish Regmi,28:44,asish is following lockdown
Rajesh verma,28:45,yellow is win
Suish Regmi,28:46,asish is following lockdown
Suish Regmi,28:47,asish is following lockdown
Suish Regmi,28:49,asish is following lockdown
Rajesh verma,28:50,yellow is win
Suish Regmi,28:54,asish is following lockdown
RJ Alok,28:54,yellow ashish win
Rajesh verma,28:56,yellow is win
Suish Regmi,28:57,asish is following lockdown
RJ Alok,29:00,yellow ashish win
Rajesh verma,29:02,yellow is win
Suish Regmi,29:02,asish is following lockdown
Mudrika Bhatia,29:06,winner
Suish Regmi,29:07,asish is following lockdown
Suish Regmi,29:13,asish is following lockdownasish is following lockdown
upSIDe 25,29:17,ASHISH WIN
Suish Regmi,29:24,ashish is following lockdown
Rajesh verma,29:25,yellow is win
Suish Regmi,29:26,ashish is following lockdown
Suish Regmi,29:27,ashish is following lockdown
Rajesh verma,29:30,yellow is win
Suish Regmi,29:32,ashish is following lockdown
Rajesh verma,29:35,yellow is win
Suish Regmi,29:37,ashish is following lockdown
Rajesh verma,29:40,yellow is win
Rajesh verma,29:44,yellow is win
Ujef Minapara,29:46,red win
Suish Regmi,29:48,ashish is following lockdown
Suish Regmi,29:48,ashish is following lockdown
Rajesh verma,29:51,yellow is win
Suish Regmi,29:52,ashish is following lockdown
Suish Regmi,29:58,ashish is following lockdown
Suish Regmi,30:02,ashish is following lockdown
tanya verma,30:03,red will win
Rajesh verma,30:06,yellow is win
Suish Regmi,30:07,ashish is following lockdown
RED LION FREEFIRE,30:11,ashish is winner
Suish Regmi,30:12,ashish is following lockdown
Rajesh verma,30:12,yellow is win
Suish Regmi,30:16,ashish is following lockdown
Suish Regmi,30:21,ashish is following lockdown
Suish Regmi,30:28,bashish is following lockdown
Suish Regmi,30:32,ashish is following lockdown
AYUSMAN PRADHAN,31:49,simran will win.
Katei -É- karan,32:06,jadu bhai ashish bhai ko bolna plz he and you both amazing video i am following him since 2017
vanita patnge,32:12,simran is winner
Katei -É- karan,32:16,jadu bhai ashish bhai ko bolna plz he and you both amazing video i am following him since 2017
Katei -É- karan,32:22,jadu bhai ashish bhai ko bolna plz he and you both amazing video i am following him since 2017
Katei -É- karan,32:27,jadu bhai ashish bhai ko bolna plz he and you both amazing video i am following him since 2017
Katei -É- karan,33:40,jadu bhai ashish bhai ko bolna plz he and you both amazing video i am following him since 2017
Katei -É- karan,33:54,jadu bhai ashish bhai ko bolna plz he and you both amazing video i am following him since 2017
Asha Natekar,34:02,ashish gona win
Katei -É- karan,34:35,jadu bhai ashish bhai ko bolna plz he and you both amazing video i am following him since 2017
Katei -É- karan,34:57,jadu bhai ashish bhai ko bolna plz he and you both amazing video i am following him since 2017
15. Jeet Trivedi,35:16,YOU WILL WIN
ABHISHEK BANKHELE,35:30,ASHUU winner
ABHISHEK BANKHELE,35:35,ASHUU winner
ABHISHEK BANKHELE,35:40,ASHUU winner
ABHISHEK BANKHELE,35:45,ASHUU winner
ABHISHEK BANKHELE,35:50,ASHUU winner
Sheshrao Suryavanshi,36:08,Simran will win
Rajeshwari Rathod,36:15,ashish you can win
15. Jeet Trivedi,36:18,YOU WILL WIN ASHISH
Mr. Mysterious,36:43,simran win
sanjay rathod,37:04,Ashish win
baranwal 1972,37:08,ashish bhai should win
Deepak Das,37:40,ashu will win
ABHISHEK BANKHELE,37:48,Ashish Will win
Ayan Ali,38:01,Simran is winner
CA Alok Kumar,38:04,simmer will be the winner
15. Jeet Trivedi,38:33,ASHISH YOU WILL WIN
Team alpha,39:32,ashsish all the best u should win at any cost
Ram Gianani,39:33,simran will win
DIVYAM THAKKAR,40:13,#ASHISHWIN
DIVYAM THAKKAR,40:35,​#ASHISHWIN
DIVYAM THAKKAR,40:38,​#ASHISHWIN
DIVYAM THAKKAR,40:42,​#ASHISHWIN
DIVYAM THAKKAR,40:44,​#ASHISHWIN
DIVYAM THAKKAR,40:46,​#ASHISHWIN
DIVYAM THAKKAR,40:48,​#ASHISHWIN
DIVYAM THAKKAR,40:55,​#ASHISHWIN
sniper games,41:04,ashish bhai win in the name of law !!!!!
Tammy Nakate,41:43,#please ashis win
Khusbhoo Rai,44:24,who will win tell me fast Ashish or some
Shivam Pandya,44:33,simran will win
Niharika Patra,48:26,Simran wins
Pratima Tiwari,48:56,Simran will win
Armaan Valecha,50:01,siimran win
Tania Mukherjee,50:06,Asu will win
Raghubir Singh,50:39,simran win
vanita patnge,51:04,simran wins🌹🌹🌹🌹🌹🌹🌹🌹🌹💐💐💐💐💐💐
Tania Mukherjee,51:46,Asu will win
Keshav Maharaj,55:13,ashis is winner
CAVE of TEKKA,56:06,ashish sir will be the winner♥️♥️
parasher bro,57:29,Ashish sir wins
Shakoor Karim,57:31,simran owns ludo kings so she wins always😭😭 rip ashish
SuperB Boi,57:42,winner
